datetime,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),PT08.S5(O3),T,RH,AH,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2)
2004-03-10 18:00:00,0.33985648986192574,-1.0774267586968678,0.24633106061835378,-0.41818745586951256,-0.0017198219572840906,0.6265404863864509,-0.5447089642987158,-0.021054071041495367,-0.6765198056473914,1.2232650640159477,0.40708578371333726,0.8774500113896261,0.6950300545052716
2004-03-10 19:00:00,-0.1160712596632333,-1.6724149321801822,-0.09392230895427303,-0.743921902261264,-0.4799844192958279,-0.12937086850708118,-0.5793592586971938,-0.09028009954498702,-0.7580387266032365,0.9048681780599792,0.060107676548276076,1.344223057507965,0.3023643900169084
2004-03-10 20:00:00,0.03590465684515316,-2.0481969364854336,-0.14861190608941008,-0.5991510371982633,0.021054682677884663,0.13113372204471183,-0.7410606417355837,0.2794160241889023,-0.6955053571588653,1.4206476353834854,0.0008441981895052972,1.2101499485165272,0.2898403444328518
2004-03-10 21:00:00,0.03590465684515316,-2.173457604587184,-0.11697990101383593,-0.38716512764172667,0.2032507197592347,0.462044958691584,-0.8450115524683041,0.6343831638470273,-0.6033574947275115,1.2961086320206343,0.035255250139759296,1.0194681935064824,0.376035246393712
2004-03-10 22:00:00,-0.42002309268000587,-2.627527526456029,-0.48818527841474124,-0.5991510371982633,0.06660369194822217,0.22330242238736095,-0.8276863915003642,0.609344031384271,-0.598098216804154,0.8108764774087708,-0.3958387617925894,1.4683648250926296,0.09976953498069853
2004-03-10 23:00:00,-0.7239749256967786,-2.8310761121213734,-0.7315694093951959,-0.8163073347927643,-0.3888864007551529,-0.1882564270593292,-0.8247988554931055,0.5857777130495472,-0.6082609746367574,0.45723270370859914,-0.7217878927658288,1.990753383088898,-0.18607338776129942
2004-03-11 00:00:00,-0.7239749256967786,-2.940679196710405,-0.8844864686474085,-0.9559078118178006,-0.8216019888233592,-0.7431888103723625,-0.8074737496003158,0.4443799716001752,-0.6700568949590051,0.40083768331787406,-0.9540624934300432,2.4883135875682334,-0.3636201516293961
2004-03-11 01:00:00,-0.8759508422051648,-2.940679196710405,-0.9252586931984152,-0.9559078118178006,-0.844376493458528,-0.7508695354009165,-0.8825493828739253,0.6343831638470273,-0.6449781850672929,0.17173291298055354,-1.0209728722222038,2.454547026785205,-0.3636201516293961
2004-03-11 02:00:00,-0.9519388004593581,-3.050282281299437,-1.0604613053658836,-1.043804408463194,-1.208768567621228,-1.0324961197812332,-0.8854368913435511,0.6152355126418125,-0.6586707893194894,-0.026824554645124236,-1.2637619609823292,2.954093499545895,-0.5308529956047402
2004-03-11 03:00:00,-1.1799026752219375,-3.128570198863031,-1.1484852119508513,-1.4695126645745826e-16,3.236451765810778e-16,-1.3352446979900738,-0.9316372746954517,0.6461663511075803,-0.6919226253109368,-0.42276459363833974,-1.4463317088295102,3.454633106447263,-0.6524099086264662
